"feature";"Freq"
"2185";300
"2214";277
"2215";242
"2211";228
"2220";195
"2207";182
"2208";178
"2224";176
"855";168
"2212";136
"853";136
"2221";135
"2222";130
"2225";113
"854";105
"2210";101
"2213";98
"1657";94
"856";93
"850";92
"1673";89
"674";78
"852";78
"675";74
"673";68
"2209";61
"2057";60
"1679";57
"695";52
"1000";51
"696";51
"2206";49
"1680";46
"849";44
"672";41
"851";39
"1002";36
"1678";34
"1001";32
"1671";32
"693";31
"1674";30
"487";30
"857";30
"2027";29
"858";27
"862";26
"847";25
"1669";23
"670";23
"1656";22
"1668";22
"694";22
"864";22
"677";21
"698";21
"1675";20
"2024";20
"2226";20
"697";20
"2205";19
"848";19
"861";19
"1647";18
"2028";18
"1005";17
"1092";17
"1670";17
"2025";17
"2041";17
"676";17
"680";17
"838";17
"1672";16
"2040";16
"2066";16
"488";16
"1974";15
"1564";14
"1664";14
"1676";14
"2059";14
"1003";13
"1911";13
"1973";13
"843";13
"846";13
"859";13
"1027";12
"1688";12
"2114";12
"679";12
"773";12
"1655";11
"2065";11
"2733";11
"692";11
"2203";10
"2204";10
"2380";10
"2751";10
"844";10
"1903";9
"1907";9
"1908";9
"2056";9
"699";9
"999";9
"1058";8
"1665";8
"1682";8
"2022";8
"2035";8
"2037";8
"2064";8
"2113";8
"671";8
"819";8
"840";8
"841";8
"860";8
"865";8
"1063";7
"1644";7
"1652";7
"2020";7
"2039";7
"745";7
"1568";6
"1643";6
"1677";6
"193";6
"2018";6
"2050";6
"2069";6
"2120";6
"2219";6
"479";6
"669";6
"746";6
"759";6
"835";6
"845";6
"1061";5
"1062";5
"1658";5
"1684";5
"1910";5
"2036";5
"2042";5
"2045";5
"2060";5
"2077";5
"2079";5
"2381";5
"2383";5
"2735";5
"2750";5
"464";5
"489";5
"760";5
"772";5
"1004";4
"1051";4
"1066";4
"1090";4
"1091";4
"1570";4
"1651";4
"1685";4
"1900";4
"2046";4
"2071";4
"2111";4
"2227";4
"2228";4
"2384";4
"2724";4
"2731";4
"2734";4
"466";4
"486";4
"747";4
"755";4
"832";4
"833";4
"863";4
"1060";3
"1065";3
"1069";3
"1646";3
"1661";3
"1681";3
"1904";3
"1909";3
"1912";3
"1972";3
"2105";3
"2110";3
"2112";3
"2125";3
"2127";3
"2402";3
"2412";3
"2416";3
"2548";3
"2592";3
"2594";3
"2670";3
"2736";3
"2737";3
"304";3
"306";3
"388";3
"477";3
"485";3
"658";3
"681";3
"836";3
"842";3
"1033";2
"1035";2
"1036";2
"1037";2
"1056";2
"1059";2
"1307";2
"1567";2
"1573";2
"1663";2
"1666";2
"1901";2
"1953";2
"1961";2
"2021";2
"2023";2
"2044";2
"2055";2
"2058";2
"2070";2
"2075";2
"2109";2
"2124";2
"2132";2
"2276";2
"2277";2
"2278";2
"2413";2
"2414";2
"2593";2
"2645";2
"2646";2
"2663";2
"2667";2
"2668";2
"2732";2
"2742";2
"2743";2
"2747";2
"2748";2
"2752";2
"478";2
"668";2
"682";2
"700";2
"756";2
"758";2
"770";2
"774";2
"820";2
"834";2
"1006";1
"1007";1
"1008";1
"1028";1
"1029";1
"1032";1
"1034";1
"1049";1
"1054";1
"1057";1
"1089";1
"1093";1
"1105";1
"1107";1
"1108";1
"1111";1
"1127";1
"1160";1
"1163";1
"1566";1
"1574";1
"1581";1
"1582";1
"1583";1
"1645";1
"1648";1
"1653";1
"1659";1
"1686";1
"1734";1
"1749";1
"1869";1
"1870";1
"1882";1
"1898";1
"1913";1
"1914";1
"1952";1
"1960";1
"1968";1
"1995";1
"2019";1
"2026";1
"2031";1
"2033";1
"2043";1
"2048";1
"2049";1
"2052";1
"2076";1
"2078";1
"2080";1
"2082";1
"2108";1
"2115";1
"2117";1
"2118";1
"2119";1
"2122";1
"2126";1
"2149";1
"2152";1
"2199";1
"2272";1
"2274";1
"2279";1
"2283";1
"2392";1
"2411";1
"2421";1
"2547";1
"2595";1
"2641";1
"2642";1
"2644";1
"2680";1
"2691";1
"2710";1
"2711";1
"2712";1
"2726";1
"2727";1
"2728";1
"2730";1
"2749";1
"465";1
"475";1
"480";1
"484";1
"490";1
"549";1
"59";1
"61";1
"664";1
"665";1
"667";1
"685";1
"686";1
"687";1
"690";1
"691";1
"701";1
"702";1
"744";1
"748";1
"751";1
"757";1
"765";1
"766";1
"767";1
"769";1
"797";1
"798";1
"799";1
"815";1
"818";1
"829";1
"837";1
"839";1
"871";1
