"repetition";"outer_accuracy"
1;0,680147058823529
2;0,659833630421866
3;0,709744503862151
4;0,680035650623886
5;0,669934640522876
6;0,699346405228758
7;0,739453357100416
8;0,650326797385621
9;0,730837789661319
10;0,660539215686274
11;0,670825906120024
12;0,630718954248366
13;0,708333333333333
14;0,641117052881759
15;0,680332739156269
16;0,739156268568033
17;0,708333333333333
18;0,670955882352941
19;0,760249554367201
20;0,709150326797386
21;0,720142602495544
22;0,679441473559121
23;0,721330956625074
24;0,750742721330957
25;0,731004901960784
26;0,700980392156863
27;0,661319073083779
28;0,670825906120024
29;0,64093137254902
30;0,738357843137255
31;0,677696078431373
32;0,710171568627451
33;0,637867647058824
34;0,719362745098039
35;0,678550207961973
36;0,729352346999406
37;0,770350564468212
38;0,740196078431373
39;0,770053475935829
40;0,710635769459299
41;0,699346405228758
42;0,750742721330957
43;0,727941176470588
44;0,650920974450386
45;0,699142156862745
46;0,619132501485443
47;0,711397058823529
48;0,749257278669043
49;0,750742721330957
50;0,740047534165181
51;0,810661764705882
52;0,709558823529412
53;0,709558823529412
54;0,690563725490196
55;0,680035650623886
56;0,700534759358289
57;0,668504901960784
58;0,712009803921569
59;0,718954248366013
60;0,719975490196078
61;0,689542483660131
62;0,719362745098039
63;0,709744503862151
64;0,67953431372549
65;0,659833630421866
66;0,738970588235294
67;0,729352346999406
68;0,637254901960784
69;0,709744503862151
70;0,711229946524064
71;0,71078431372549
72;0,648897058823529
73;0,699142156862745
74;0,778799019607843
75;0,59982174688057
76;0,749554367201426
77;0,727941176470588
78;0,699049316696375
79;0,640819964349376
80;0,770350564468212
81;0,689839572192513
82;0,689245395127748
83;0,790441176470588
84;0,720588235294118
85;0,679441473559121
86;0,779560308972074
87;0,709447415329768
88;0,661021984551396
89;0,739583333333333
90;0,799019607843137
91;0,760843731431967
92;0,750742721330957
93;0,720588235294118
94;0,719251336898396
95;0,699940582293524
96;0,650029708853238
97;0,729946524064171
98;0,739156268568033
99;0,750148544266191
100;0,740047534165181
